id,text,label,language,source_id,synthetic,consent,comment
ds04-001,"Aapka KYC expire ho gaya hai. Turant update karein warna account block ho jayega. Link par click karein.",phishing,hinglish,DS-04,true,"Team-authored, no real content","KYC lure, the most common Indian phishing opener"
ds04-002,"आपका खाता निलंबित कर दिया जाएगा। कृपया अपना नेट बैंकिंग पासवर्ड सत्यापित करें।",phishing,hi,DS-04,true,"Team-authored, no real content","Devanagari credential request"
ds04-003,"Sir aapko OTP aaya hoga, wo mujhe batayein taki main aapka refund process kar sakoon.",phishing,hinglish,DS-04,true,"Team-authored, no real content","OTP request framed as help"
ds04-004,"बैंक से बोल रहा हूँ, आपका डेबिट कार्ड ब्लॉक हो रहा है। कार्ड नंबर और CVV बताइए।",phishing,hi,DS-04,true,"Team-authored, no real content","Authority impersonation plus card details"
ds04-005,"Aapke account me suspicious activity detect hui hai. Verify karne ke liye apna UPI PIN daalein.",phishing,hinglish,DS-04,true,"Team-authored, no real content","UPI PIN is never needed to receive money"
ds04-006,"Congratulations! Aap KBC lucky draw me 25 lakh jeet gaye hain. Claim karne ke liye registration fee bharein.",payment_upi,hinglish,DS-04,true,"Team-authored, no real content","Mechanism of loss is the fee, not the prize -- see guide B-rule"
ds04-007,"बधाई हो! आपने 10 लाख का इनाम जीता है। प्रोसेसिंग शुल्क जमा करें।",payment_upi,hi,DS-04,true,"Team-authored, no real content","Advance fee in Devanagari"
ds04-008,"Aapko paisa bhejne ke liye ye collect request accept karein aur PIN daalein.",payment_upi,hinglish,DS-04,true,"Team-authored, no real content","Collect request reversal -- approving sends money out"
ds04-009,"मैंने गलती से आपके खाते में पैसे भेज दिए, कृपया वापस भेज दीजिए इस नंबर पर 98******10",payment_upi,hi,DS-04,true,"Team-authored, no real content","Overpayment refund scam, phone masked"
ds04-010,"Beta main hospital me hoon, accident ho gaya. Turant 50,000 bhej do is number par 98******21",impersonation,hinglish,DS-04,true,"Team-authored, no real content","Family emergency, amount before verb"
ds04-011,"मम्मी मेरा फ़ोन खो गया है, ये मेरा नया नंबर है। तुरंत पैसे भेजो।",impersonation,hi,DS-04,true,"Team-authored, no real content","New number plus urgency plus money -- guide B8"
ds04-012,"Main cyber cell se bol raha hoon, aapke naam par case hai. Settlement ke liye abhi payment karein.",impersonation,hinglish,DS-04,true,"Team-authored, no real content","Police impersonation with settlement demand"
ds04-013,"Sir screen share karne ke liye AnyDesk install kar lijiye, main refund kar deta hoon.",impersonation,hinglish,DS-04,true,"Team-authored, no real content","Remote access tool -- absent from DS-01 entirely"
ds04-014,"कस्टमर केयर से बोल रहे हैं, समस्या हल करने के लिए TeamViewer डाउनलोड करें।",impersonation,hi,DS-04,true,"Team-authored, no real content","Remote access in Devanagari"
ds04-015,"Work from home job! Daily 3000 rupaye kamayein. Koi interview nahi. Telegram par join karein.",fake_job,hinglish,DS-04,true,"Team-authored, no real content","No-interview plus Telegram is the task-scam funnel"
ds04-016,"घर बैठे कमाएँ! केवल वीडियो लाइक करें और प्रतिदिन भुगतान पाएँ।",fake_job,hi,DS-04,true,"Team-authored, no real content","Task-based earning"
ds04-017,"Internship confirm ho gayi hai. Registration fee 500 rupaye jama karke seat pakki karein.",fake_job,hinglish,DS-04,true,"Team-authored, no real content","Genuine employers do not charge applicants -- guide B6"
ds04-018,"Amazon me part time job, sirf product rating dena hai, commission milega. Deposit chahiye hoga.",fake_job,hinglish,DS-04,true,"Team-authored, no real content","Rating task plus deposit"
ds04-019,"Instant loan bina documents ke, CIBIL check nahi hoga. Abhi apply karein.",loan_investment,hinglish,DS-04,true,"Team-authored, no real content","Predatory instant loan app pattern"
ds04-020,"बिना गारंटी के तुरंत लोन, केवल आधार से। आज ही संपर्क करें।",loan_investment,hi,DS-04,true,"Team-authored, no real content","Aadhaar-only loan offer"
ds04-021,"Crypto me invest karein, har mahine 20% guaranteed return. Limited seats.",loan_investment,hinglish,DS-04,true,"Team-authored, no real content","Guaranteed return is the marker -- guide B12"
ds04-022,"Aap lucky winner hain! Free iPhone jeetne ke liye is link par click karein.",prize_reward,hinglish,DS-04,true,"Team-authored, no real content","Unentered prize with action hook"
ds04-023,"आपका मोबाइल नंबर लकी ड्रॉ में चुना गया है। पुरस्कार पाने के लिए विवरण भेजें।",prize_reward,hi,DS-04,true,"Team-authored, no real content","Lucky draw never entered"
ds04-024,"Aapko cashback mila hai! Claim karne ke liye niche diye gaye link par jayein.",prize_reward,hinglish,DS-04,true,"Team-authored, no real content","Cashback lure"
ds04-025,"Sir aapka bijli connection aaj raat kat jayega. Turant is number par sampark karein.",impersonation,hinglish,DS-04,true,"Team-authored, no real content","Electricity disconnection scam, very common in India"
ds04-026,"आपका पार्सल कस्टम में रुका है। छुड़ाने के लिए शुल्क का भुगतान करें।",payment_upi,hi,DS-04,true,"Team-authored, no real content","Customs clearance fee scam"
ds04-027,"Aapka OTP 445566 hai. Ise kisi ke saath share na karein.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Delivers an OTP, does not request one -- guide B1, hard negative"
ds04-028,"आपके खाते से 2,500 रुपये निकाले गए। यदि यह आप नहीं थे तो बैंक से संपर्क करें।",legitimate,hi,DS-04,true,"Team-authored, no real content","Genuine transaction alert, alarming tone only -- guide B4"
ds04-029,"Aapka Swiggy order 20 minute me pahunch jayega. Order track karein app me.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Ordinary service notification"
ds04-030,"कल मिलते हैं कॉलेज के गेट पर, ठीक ग्यारह बजे।",legitimate,hi,DS-04,true,"Team-authored, no real content","Ordinary personal message"
ds04-031,"Bhai wo assignment ka photo bhej dena zara, kal submit karna hai.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Personal request, no loss mechanism -- guide B7"
ds04-032,"Aapka recharge 239 rupaye ka safal raha. Validity 28 din.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Genuine recharge confirmation"
